epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
117,904.968,0.74076,0.34137,0.00513,0.91655,0.90905,0.93202,0.65577,1.01704,0.47292,0.007,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,912.693,0.74545,0.34679,0.00513,0.93137,0.88392,0.92734,0.65437,1.05644,0.48437,0.00714,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,920.347,0.73332,0.33807,0.00514,0.92081,0.88927,0.92298,0.65579,1.03764,0.51165,0.00715,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,928.027,0.73793,0.3424,0.00513,0.91747,0.89098,0.92876,0.66834,1.02149,0.48076,0.00705,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,935.704,0.72282,0.33922,0.00501,0.93402,0.87465,0.93654,0.66091,1.0141,0.5179,0.00672,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,943.395,0.72775,0.33754,0.00505,0.93764,0.89507,0.94132,0.66854,1.02355,0.47114,0.00696,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,951.064,0.72185,0.33794,0.00494,0.92472,0.87791,0.93586,0.6662,1.01532,0.49212,0.00682,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,958.773,0.72709,0.33856,0.00503,0.91597,0.87668,0.91831,0.65814,1.03624,0.54125,0.00697,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,966.438,0.71666,0.3302,0.00496,0.94617,0.88067,0.93681,0.67644,1.00189,0.46435,0.00659,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,974.109,0.71788,0.33122,0.00499,0.92678,0.88176,0.93041,0.67067,1.02164,0.51808,0.0066,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,981.795,0.71401,0.3335,0.00504,0.93859,0.88028,0.93462,0.67605,1.00426,0.46139,0.00667,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,989.468,0.71137,0.33165,0.00497,0.93076,0.894,0.93913,0.67096,1.02392,0.4508,0.00685,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,997.141,0.70804,0.3269,0.00491,0.92702,0.88145,0.92747,0.66004,1.02171,0.48769,0.00701,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,1004.82,0.71133,0.32843,0.0049,0.93572,0.88006,0.94664,0.68271,1.0093,0.4571,0.00687,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,1012.53,0.70211,0.31966,0.00486,0.92752,0.90347,0.94359,0.67465,1.03705,0.47636,0.00708,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,1020.2,0.70606,0.31873,0.00479,0.92144,0.89274,0.94325,0.67705,1.03207,0.47296,0.00705,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
